category,items,orders,revenue,freight,avg_item_price,avg_freight,avg_review_score,contribution_proxy,margin_proxy,freight_ratio,revenue_per_order_containing_category
fixed_telephony,264,217,59583.0,4637.81,225.6931818181818,17.567462121212124,225.6931818181818,54945.19,0.9221621939143716,0.07783780608562846,274.57603686635946
home_confort,434,397,58572.04,8501.23,134.95861751152074,19.588087557603686,134.95861751152074,50070.81,0.8548585639154791,0.14514143608452088,147.53662468513855
air_conditioning,297,253,55024.96,6749.23,185.26922558922558,22.724680134680135,185.26922558922558,48275.729999999996,0.8773423915255912,0.1226576084744087,217.4899604743083
audio,364,350,50688.5,5710.44,139.25412087912088,15.688021978021977,139.25412087912088,44978.06,0.8873424938595539,0.11265750614044605,144.8242857142857
small_appliances_home_oven_and_coffee,76,75,47445.71,2747.86,624.2856578947368,36.15605263157895,624.2856578947368,44697.85,0.9420841209879671,0.05791587901203291,632.6094666666667
books_general_interest,553,512,46856.88,9195.52,84.73215189873417,16.62842676311031,84.73215189873417,37661.36,0.8037530454439136,0.19624695455608657,91.51734375
kitchen_dining_laundry_garden_furniture,281,248,46328.37,11999.43,164.8696441281139,42.702597864768684,164.8696441281139,34328.94,0.74099175084295,0.25900824915705,186.8079435483871
construction_tools_lights,304,244,41080.0,7583.8,135.1315789473684,24.94671052631579,135.1315789473684,33496.2,0.8153894839337876,0.18461051606621226,168.36065573770492
construction_tools_safety,194,167,40544.52,3919.1,208.9923711340206,20.201546391752576,208.9923711340206,36625.42,0.9033383549737425,0.09666164502625756,242.78155688622752
industry_commerce_and_business,268,235,39669.61,7884.68,148.0209328358209,29.42044776119403,148.0209328358209,31784.93,0.8012413028512254,0.1987586971487746,168.80685106382978
food,510,450,29393.41,7271.03,57.63413725490196,14.256921568627451,57.63413725490196,22122.38,0.75263060665639,0.24736939334361,65.31868888888889
market_place,311,280,28378.47,5456.06,91.2490996784566,17.543601286173633,91.2490996784566,22922.41,0.8077394588221282,0.19226054117787184,101.35167857142858
costruction_tools_garden,238,194,25715.89,5311.4,108.04995798319328,22.316806722689073,108.04995798319328,20404.489999999998,0.7934584414539025,0.20654155854609738,132.55613402061854
art,209,202,24202.64,4045.17,115.8021052631579,19.35488038277512,115.8021052631579,20157.47,0.8328624480635171,0.16713755193648297,119.8150495049505
fashion_shoes,262,240,23562.77,4918.87,89.93423664122137,18.774312977099235,89.93423664122137,18643.9,0.7912439836233177,0.20875601637668237,98.17820833333333
drinks,379,297,22428.7,5741.25,59.178627968337736,15.148416886543536,59.178627968337736,16687.45,0.7440221680257884,0.2559778319742116,75.51750841750842
signaling_and_security,199,140,21509.23,6507.820000000001,108.08658291457286,32.70261306532664,108.08658291457286,15001.41,0.6974405871339885,0.3025594128660115,153.63735714285713
furniture_bedroom,109,95,20028.78,4632.23,183.75027522935778,42.49752293577981,183.75027522935778,15396.55,0.7687213100348599,0.23127868996514014,210.82926315789473
books_technical,267,260,19096.06,4283.06,71.52082397003745,16.041423220973783,71.52082397003745,14813.0,0.7757097537397767,0.2242902462602233,73.44638461538462
costruction_tools_tools,103,97,15903.95,2030.22,154.40728155339806,19.710873786407767,154.40728155339806,13873.730000000001,0.8723449206014858,0.1276550793985142,163.95824742268042
food_drink,278,227,15179.48,4507.99,54.602446043165465,16.215791366906473,54.602446043165465,10671.49,0.7030207885909135,0.29697921140908645,66.86995594713656
fashion_male_clothing,132,112,10797.82,2152.41,81.80166666666666,16.306136363636362,81.80166666666666,8645.41,0.800662541142564,0.19933745885743603,96.40910714285714
fashion_underwear_beach,131,121,9541.55,1916.19,72.83625954198473,14.627404580152673,72.83625954198473,7625.359999999999,0.7991741383737443,0.2008258616262557,78.85578512396694
christmas_supplies,153,128,8800.82,3229.2999999999997,57.52169934640523,21.106535947712416,57.52169934640523,5571.52,0.6330682822736973,0.36693171772630273,68.75640625
tablets_printing_image,83,79,7528.41,1226.2,90.70373493975903,14.773493975903614,90.70373493975903,6302.21,0.8371236423095979,0.1628763576904021,95.29632911392405
cine_photo,72,65,6933.46,1256.2,96.29805555555555,17.447222222222223,96.29805555555555,5677.26,0.8188206177002536,0.18117938229974645,106.66861538461538
music,38,38,6034.35,690.51,158.79868421052632,18.171315789473685,158.79868421052632,5343.84,0.8855701111138731,0.11442988888612692,158.79868421052632
dvds_blu_ray,64,59,5999.39,1288.74,93.74046875,20.1365625,93.74046875,4710.650000000001,0.7851881607963477,0.21481183920365235,101.68457627118644
